Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4-30-2019  2:52PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  UART.ngd
output file: UART_pad.csv
Part type:   xa2c384
Speed grade: -11
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,,VCC,VCC,,,,,,,,,,
P2,DATA<0>,O,I/O/GTS2,OUTPUT,LVCMOS18,2,,FAST,,,,
P3,DATA<1>,O,I/O/GTS3,OUTPUT,LVCMOS18,2,,FAST,,,,
P4,DATA<2>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P5,KPR,,I/O/GTS0,,,2,,,,,,,
P6,KPR,,I/O/GTS1,,,2,,,,,,,
P7,KPR,,I/O,,,2,,,,,,,
P8,,VCCAUX,VAUX,,,,,,,,,,
P9,DATA<6>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P10,DATA<7>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P11,KPR,,I/O,,,2,,,,,,,
P12,KPR,,I/O,,,2,,,,,,,
P13,KPR,,I/O,,,2,,,,,,,
P14,KPR,,I/O,,,2,,,,,,,
P15,KPR,,I/O,,,2,,,,,,,
P16,KPR,,I/O,,,2,,,,,,,
P17,KPR,,I/O,,,2,,,,,,,
P18,KPR,,I/O,,,2,,,,,,,
P19,KPR,,I/O,,,1,,,,,,,
P20,KPR,,I/O,,,1,,,,,,,
P21,KPR,,I/O,,,1,,,,,,,
P22,KPR,,I/O,,,1,,,,,,,
P23,KPR,,I/O,,,1,,,,,,,
P24,KPR,,I/O,,,1,,,,,,,
P25,KPR,,I/O,,,1,,,,,,,
P26,KPR,,I/O,,,1,,,,,,,
P27,,VCCIO-1.8,VCCIO,,,,,,,,,,
P28,KPR,,I/O,,,1,,,,,,,
P29,GND,,GND,,,,,,,,,,
P30,RXD,GCK/I,I/O/GCK0,,LVCMOS18,1,,FAST,,,,
P31,KPR,,I/O,,,1,,,,,,,
P32,CLK50,GCK,I/O/GCK1,,LVCMOS18,1,,FAST,,,,
P33,KPR,,I/O,,,1,,,,,,,
P34,KPR,,I/O,,,1,,,,,,,
P35,KPR,,I/O/CDR,,,1,,,,,,,
